@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
1,'2019/05/28 21:03:41:152',1,0.855863,-0.194481,0.534904,0.382365,0.341138,0.114944,0.149971,0.192427,0.129902,0.169367,0.203293,0.217806,0.413431,1,0,0,0
2,'2019/05/28 21:03:41:170',1,0.927749,0.070136,0.694055,0.24407,0.090757,0.030249,0.355797,0.388159,0.174873,0.134611,0.207807,0.160936,0.269972,1,0,0,0
3,'2019/05/28 21:03:41:185',1,0.729653,-0.337482,0.427139,0.078946,-0.006341,-0.101203,0.209123,0.391539,0.299638,0.353389,0.286365,0.15448,0.312445,1,0,0,0
4,'2019/05/28 21:03:41:201',1,0.931776,0.030305,0.702013,0.386198,0.362988,-0.062735,0.086195,0.326498,0.249476,0.305533,0.333451,0.064269,0.074872,1,0,0,0
5,'2019/05/28 21:03:41:218',1,0.898717,0.048004,0.614925,0.282648,0.256949,0.004308,0.210905,0.338581,0.224808,0.225935,0.375274,0.209023,0.166841,1,0,0,0
6,'2019/05/28 21:03:41:235',1,1.011641,0.050042,0.708476,0.355516,0.224803,-0.030346,0.156781,0.277664,0.255267,0.190145,0.175745,0.164856,0.203989,1,0,0,0
7,'2019/05/28 21:03:41:252',1,0.84261,0.018799,0.835828,0.428012,0.280507,-0.015883,-0.006421,0.20226,0.257899,0.078277,0.304425,0.212216,0.195854,1,0,0,0
8,'2019/05/28 21:03:41:268',1,0.938037,0.034592,0.665143,0.207542,0.070331,-0.099871,0.207946,0.383129,0.311902,0.36349,0.143519,0.001185,0.181429,1,0,0,0
9,'2019/05/28 21:03:41:285',1,0.791247,-0.298762,0.449936,0.268346,0.17058,0.046238,0.229371,0.308722,0.20463,0.131935,0.128251,0.19353,0.40076,1,0,0,0
10,'2019/05/28 21:03:41:302',1,1.025986,-0.004571,0.527021,0.255242,0.228893,-0.10949,0.172662,0.358622,0.246799,0.257353,0.284918,0.20227,0.222182,1,0,0,0
11,'2019/05/28 21:03:41:318',1,0.977836,-0.027348,0.544789,0.28536,0.143411,0.013496,0.031564,0.113928,0.335976,0.31298,0.224104,0.134432,0.281051,1,0,0,0
12,'2019/05/28 21:03:41:334',1,0.869668,-0.087562,0.457906,0.171866,0.267446,0.103879,0.191381,0.382218,0.195978,0.294109,0.423344,0.285101,0.275816,1,0,0,0
13,'2019/05/28 21:03:41:352',1,0.871591,0.059951,0.664041,0.33022,0.209069,-0.090257,0.086227,0.245538,0.238301,0.198818,0.39565,0.196058,0.077942,1,0,0,0
14,'2019/05/28 21:03:41:368',1,0.776726,0.067924,0.850667,0.350471,0.220791,0.109288,0.133325,0.085247,0.226143,0.234843,0.360315,0.26184,0.167461,1,0,0,0
15,'2019/05/28 21:03:41:385',1,0.922351,0.109037,0.710771,0.335675,0.334875,-0.133764,-0.050684,0.334399,0.321228,0.133475,0.287295,0.271143,0.184829,1,0,0,0
16,'2019/05/28 21:03:41:401',1,0.998517,0.137356,0.597393,0.251841,0.32086,0.03401,0.084891,0.241777,0.062068,0.103541,0.25431,0.183702,0.239205,1,0,0,0
17,'2019/05/28 21:03:41:418',1,0.940622,-0.084645,0.492736,0.25513,0.285466,0.114162,0.211439,0.330724,0.243622,0.295137,0.414994,0.240815,0.067683,1,0,0,0
18,'2019/05/28 21:03:41:434',1,0.935593,-0.107051,0.58026,0.153489,0.223021,0.103877,0.266526,0.336445,0.322972,0.261202,0.297516,0.226052,0.139433,1,0,0,0
19,'2019/05/28 21:03:41:452',1,0.713933,-0.075079,0.569971,0.292926,0.41955,0.196318,0.237371,0.322392,0.274815,0.223881,0.341321,0.089871,0.132285,1,0,0,0
20,'2019/05/28 21:03:41:468',1,0.743687,-0.10813,0.521468,0.254053,0.217544,-0.000616,0.260439,0.244575,0.308183,0.331734,0.344696,0.205993,0.260409,1,0,0,0
21,'2019/05/28 21:03:41:485',1,0.7941,0.0301,0.675545,0.353117,0.306792,-0.021485,0.067264,0.134675,0.32211,0.152056,0.243331,0.334726,0.213587,1,0,0,0
22,'2019/05/28 21:03:41:501',1,1.003718,0.082499,0.543249,0.230742,0.072078,0.083259,0.23216,0.3422,0.242077,0.178504,0.299776,0.282224,0.125255,1,0,0,0
23,'2019/05/28 21:03:41:519',1,0.901003,-0.012655,0.515159,0.243881,0.289899,-0.054792,0.141487,0.420309,0.274187,0.179493,0.30306,0.165312,0.132191,1,0,0,0
24,'2019/05/28 21:03:41:535',1,0.788097,0.029583,0.897759,0.484813,0.279217,-0.224268,0.01006,0.39799,0.394846,0.416865,0.27453,0.088738,0.008518,1,0,0,0
25,'2019/05/28 21:03:41:552',1,0.868052,-0.085393,0.49183,0.222175,0.088488,-0.060828,0.094718,0.276501,0.334759,0.368849,0.437158,0.288803,0.276278,1,0,0,0
26,'2019/05/28 21:03:41:568',1,0.839439,-0.242172,0.464055,0.114334,0.13873,0.058127,0.225562,0.304772,0.287511,0.266882,0.284637,0.199597,0.183727,1,0,0,0
27,'2019/05/28 21:03:41:585',1,0.967268,0.057774,0.634715,0.461708,0.343844,0.066008,0.242955,0.317217,0.175477,0.145273,0.26599,0.085729,0.031958,1,0,0,0
28,'2019/05/28 21:03:41:601',1,0.735341,-0.103257,0.560257,0.180614,0.210727,0.161878,0.277766,0.282399,0.168806,0.213622,0.387508,0.343345,0.313426,1,0,0,0
29,'2019/05/28 21:03:41:619',1,0.864956,0.092231,0.700297,0.114794,0.151344,0.116804,0.167345,0.205493,0.149283,0.15427,0.279734,0.131978,0.167701,1,0,0,0
30,'2019/05/28 21:03:41:635',1,0.857774,-0.016749,0.716038,0.375794,0.340356,0.093222,0.089871,0.152273,0.238818,0.154659,0.172973,0.190435,0.33176,1,0,0,0
31,'2019/05/28 21:03:41:651',1,0.861132,-0.06901,0.601924,0.225856,0.17725,-0.059365,0.133701,0.164661,0.275929,0.339133,0.303001,0.246876,0.209517,1,0,0,0
32,'2019/05/28 21:03:41:668',1,0.992999,0.147061,0.640534,0.213338,0.256675,0.216897,0.171947,0.234119,0.192888,0.219141,0.209079,0.054095,0.109904,1,0,0,0
33,'2019/05/28 21:03:41:684',1,0.777665,-0.276315,0.574646,0.27497,0.040065,-0.126677,0.088937,0.310343,0.335733,0.269302,0.095373,0.241316,0.307472,1,0,0,0
34,'2019/05/28 21:03:41:702',1,0.884403,0.014597,0.719515,0.298059,0.20674,0.06237,0.11787,0.216505,0.211155,0.217135,0.280524,0.284382,0.32541,1,0,0,0
35,'2019/05/28 21:03:41:718',1,0.913693,-0.108217,0.466091,0.091722,0.165382,0.023023,0.073066,0.232503,0.257343,0.312508,0.358831,0.304446,0.454749,1,0,0,0
