@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute raw-1 numeric
@attribute raw-2 numeric
@attribute raw-3 numeric
@attribute raw-4 numeric
@attribute raw-5 numeric
@attribute raw-6 numeric
@attribute raw-7 numeric
@attribute raw-8 numeric
@attribute raw-9 numeric
@attribute raw-10 numeric
@attribute raw-11 numeric
@attribute raw-12 numeric
@attribute raw-13 numeric
@attribute raw-14 numeric
@attribute raw-15 numeric
@attribute raw-16 numeric
@attribute raw-17 numeric
@attribute raw-18 numeric
@attribute raw-19 numeric
@attribute raw-20 numeric
@attribute raw-21 numeric
@attribute raw-22 numeric
@attribute raw-23 numeric
@attribute raw-24 numeric
@attribute raw-25 numeric
@attribute raw-26 numeric
@attribute raw-27 numeric
@attribute raw-28 numeric
@attribute raw-29 numeric
@attribute raw-30 numeric
@attribute raw-31 numeric
@attribute raw-32 numeric
@attribute raw-33 numeric
@attribute raw-34 numeric
@attribute raw-35 numeric
@attribute raw-36 numeric
@attribute raw-37 numeric
@attribute raw-38 numeric
@attribute raw-39 numeric
@attribute raw-40 numeric
@attribute raw-41 numeric
@attribute raw-42 numeric
@attribute raw-43 numeric
@attribute raw-44 numeric
@attribute raw-45 numeric
@attribute raw-46 numeric
@attribute raw-47 numeric
@attribute raw-48 numeric
@attribute raw-49 numeric
@attribute raw-50 numeric
@attribute raw-51 numeric
@attribute raw-52 numeric
@attribute raw-53 numeric
@attribute raw-54 numeric
@attribute raw-55 numeric
@attribute raw-56 numeric
@attribute raw-57 numeric
@attribute raw-58 numeric
@attribute raw-59 numeric
@attribute raw-60 numeric
@attribute raw-61 numeric
@attribute raw-62 numeric
@attribute raw-63 numeric
@attribute raw-64 numeric
@attribute raw-65 numeric
@attribute raw-66 numeric
@attribute raw-67 numeric
@attribute raw-68 numeric
@attribute raw-69 numeric
@attribute raw-70 numeric
@attribute raw-71 numeric
@attribute raw-72 numeric
@attribute raw-73 numeric
@attribute raw-74 numeric
@attribute raw-75 numeric
@attribute raw-76 numeric
@attribute raw-77 numeric
@attribute raw-78 numeric
@attribute raw-79 numeric
@attribute raw-80 numeric
@attribute raw-81 numeric
@attribute raw-82 numeric
@attribute raw-83 numeric
@attribute raw-84 numeric
@attribute raw-85 numeric
@attribute raw-86 numeric
@attribute raw-87 numeric
@attribute raw-88 numeric
@attribute raw-89 numeric
@attribute raw-90 numeric
@attribute raw-91 numeric
@attribute raw-92 numeric
@attribute raw-93 numeric
@attribute raw-94 numeric
@attribute raw-95 numeric
@attribute raw-96 numeric
@attribute raw-97 numeric
@attribute raw-98 numeric
@attribute raw-99 numeric
@attribute raw-100 numeric
@attribute raw-101 numeric
@attribute raw-102 numeric
@attribute raw-103 numeric
@attribute raw-104 numeric
@attribute raw-105 numeric
@attribute raw-106 numeric
@attribute raw-107 numeric
@attribute raw-108 numeric
@attribute raw-109 numeric
@attribute raw-110 numeric
@attribute raw-111 numeric
@attribute raw-112 numeric
@attribute raw-113 numeric
@attribute raw-114 numeric
@attribute raw-115 numeric
@attribute raw-116 numeric
@attribute raw-117 numeric
@attribute raw-118 numeric
@attribute raw-119 numeric
@attribute raw-120 numeric
@attribute raw-121 numeric
@attribute raw-122 numeric
@attribute raw-123 numeric
@attribute raw-124 numeric
@attribute raw-125 numeric
@attribute raw-126 numeric
@attribute raw-127 numeric
@attribute raw-128 numeric
@attribute raw-129 numeric
@attribute raw-130 numeric
@attribute raw-131 numeric
@attribute raw-132 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
545,'2019/06/10 17:34:39:658',17,267.190002,200.160568,266.812195,219.100159,267.774628,238.048691,269.216614,256.85257,272.28775,275.573242,278.562012,293.937256,288.335449,310.998383,301.707489,325.270691,319.628204,332.316986,338.457397,332.189789,355.136444,323.504913,369.002197,310.517975,379.695465,294.887482,387.15329,277.154755,393.467316,258.44574,399.799744,239.438675,404.871735,220.125824,286.049011,160.225571,295.412384,154.895248,306.151154,153.137711,316.986328,154.492477,326.901947,158.684814,357.818817,163.602463,369.531158,161.92308,381.313324,163.559753,391.98175,168.774963,399.838287,177.414871,339.4104,192.16835,338.148254,206.290131,336.88208,220.312042,335.62793,234.288925,321.915527,244.411911,327.464386,246.890945,333.458191,248.299698,339.664642,248.337296,345.650238,247.158554,295.356903,187.886353,302.645081,183.574783,311.096741,185.026474,316.768341,191.105499,309.365082,192.47049,301.753723,191.63028,360.587128,197.227463,367.745941,192.689316,376.247467,193.521393,382.368927,199.270325,375.243347,201.329636,367.597992,200.231888,304.598267,272.817474,313.015472,267.680267,322.36676,264.091278,332.000153,265.989777,341.564423,266.578186,349.597992,272.322449,356.350891,279.115204,348.594513,285.901001,338.963257,289.855316,328.527161,290.114075,318.542633,287.203796,310.375671,281.120087,320.729492,273.000824,330.842133,273.987122,340.475555,275.472504,340.070862,278.698486,330.04892,278.34848,320.175262,276.138367,1,0,?
546,'2019/06/10 17:34:39:671',17,266.838226,201.167664,266.51532,219.952087,267.538361,238.752655,269.071655,257.397186,272.264465,275.950775,278.633698,294.143127,288.464722,311.04425,301.858002,325.188782,319.757141,332.14389,338.513153,332.03717,355.114807,323.441101,368.974609,310.646515,379.705261,295.212585,387.184479,277.583984,393.516052,258.89209,399.863953,239.869003,404.954987,220.538376,286.07373,160.436935,295.495239,155.10585,306.270599,153.329742,317.150482,154.631104,327.118011,158.770981,357.500214,163.376083,369.308716,161.647049,381.195068,163.259628,391.975983,168.479294,399.96051,177.157806,339.274261,192.088684,338.048553,206.203506,336.826294,220.215744,335.61557,234.185944,322.023743,244.28566,327.51532,246.70343,333.443665,248.065872,339.602478,248.097427,345.546478,246.928574,295.403473,187.964645,302.654144,183.544815,311.108429,184.980286,316.737579,191.113876,309.366974,192.521164,301.776978,191.714493,360.670929,197.024933,367.800171,192.332901,376.321533,193.136047,382.440308,198.935867,375.338562,201.070496,367.692688,200.010361,304.580597,273.062042,312.95578,267.606873,322.369354,263.78656,332.146088,265.588928,341.827423,266.237671,349.900391,272.166229,356.585297,279.184723,348.787689,285.954712,339.119751,289.935455,328.630737,290.20697,318.6026,287.352051,310.384705,281.319305,320.841217,272.865906,330.980591,273.700806,340.595581,275.256714,340.110077,278.683197,330.127777,278.353577,320.276855,276.220764,1,0,?
547,'2019/06/10 17:34:39:694',17,267.317139,200.505844,266.794891,219.3965,267.65567,238.313538,269.070496,257.041534,272.16571,275.617859,278.359894,293.861786,287.947266,310.932953,301.159058,325.304169,319.050171,332.37738,337.944641,332.3349,354.699768,323.757721,368.692871,310.962677,379.549194,295.542908,387.167053,277.930084,393.594818,259.194977,399.988495,240.090103,405.138245,220.683746,286.344482,159.80983,295.510925,154.622375,305.98764,152.921463,316.547943,154.228745,326.190826,158.312302,357.829498,163.439423,369.418427,161.765625,381.0802,163.37384,391.681335,168.480942,399.595947,176.964966,338.870636,192.284027,337.494446,206.253937,336.12146,220.124344,334.772217,233.956985,321.202148,244.150726,326.687073,246.600159,332.615204,247.998627,338.879059,248.078949,344.935028,246.963486,295.268524,187.613068,302.577087,183.315872,311.022675,184.841751,316.613831,190.997421,309.203766,192.362106,301.595642,191.479767,360.60257,197.18219,367.764679,192.561554,376.312714,193.435028,382.464355,199.222824,375.310364,201.347198,367.62381,200.264938,303.886414,272.433716,312.230194,267.279053,321.562866,263.750153,331.154968,265.623383,340.79892,266.31488,348.9151,272.100098,355.773407,278.948425,347.986816,286.116882,338.225891,290.41272,327.529205,290.718536,317.407776,287.655457,309.342316,281.157593,319.761963,272.615692,329.985626,273.571899,339.884705,275.188385,339.419952,279.186279,329.062805,278.937256,319.018829,276.495728,1,0,?
548,'2019/06/10 17:34:39:727',17,266.841034,200.708252,266.39682,219.533463,267.350922,238.383865,268.929169,257.03772,272.235229,275.527924,278.57843,293.707855,288.295593,310.711975,301.627472,325.005005,319.604034,332.03006,338.427643,331.977631,355.057953,323.423584,368.918121,310.671112,379.657013,295.315643,387.219391,277.756958,393.646057,259.01709,400.040527,239.88176,405.171631,220.439499,286.482819,159.741898,295.934204,154.598602,306.658997,153.070908,317.40741,154.577728,327.192566,158.876785,357.377716,163.531296,369.150482,161.641357,381.037598,163.077118,391.887085,168.131958,399.97998,176.729645,339.132324,192.069565,337.886169,205.951126,336.647034,219.732468,335.426422,233.476242,321.633606,243.911011,327.144073,246.433167,333.134033,247.836594,339.429871,247.877457,345.486389,246.646408,295.356445,187.664902,302.669037,183.417191,311.124237,184.887375,316.794495,190.909271,309.37851,192.262131,301.750824,191.425064,360.71991,196.908188,367.904633,192.358261,376.450653,193.209885,382.665924,198.896118,375.502991,200.975418,367.799774,199.904648,304.962189,272.633331,313.118591,267.302063,322.304016,263.597443,331.82309,265.370758,341.29364,266.037323,349.196136,271.85614,355.771057,278.731476,348.177734,285.648163,338.684875,289.814148,328.258392,290.141052,318.345062,287.214966,310.413635,281.00412,320.688141,272.494415,330.664368,273.278992,340.166473,274.88559,339.677826,278.630585,329.741455,278.419708,320.024445,276.142517,1,0,?
549,'2019/06/10 17:34:39:777',17,267.02652,200.789703,266.607269,219.595276,267.563507,238.423111,269.053253,257.075653,272.186523,275.624146,278.424103,293.873962,288.09314,310.920258,301.371948,325.254944,319.294128,332.31134,338.114288,332.324677,354.816376,323.825531,368.77121,311.090698,379.567993,295.683105,387.083954,278.026917,393.500427,259.249908,399.964874,240.12529,405.195129,220.693069,286.241364,159.972961,295.662231,154.659119,306.422119,152.946487,317.255737,154.328094,327.141418,158.550949,358.049072,163.248428,369.899536,161.557968,381.808319,163.230743,392.574463,168.57576,400.480194,177.405945,339.228424,192.106842,337.937012,206.170731,336.651062,220.133484,335.378326,234.057571,321.905457,244.277878,327.29425,246.634079,333.105286,247.968811,339.183685,248.053268,345.063843,246.977249,295.541412,187.828995,302.80191,183.494339,311.218597,184.971024,316.811371,191.07341,309.4487,192.462021,301.877228,191.619202,360.660767,197.165009,367.817688,192.535172,376.333221,193.388702,382.453613,199.170883,375.328949,201.275757,367.677887,200.19426,304.187958,272.776123,312.588837,267.459869,321.979248,263.739441,331.691254,265.572021,341.360779,266.275299,349.432312,272.19812,356.204926,279.155884,348.360687,286.061127,338.632019,290.150757,328.039642,290.414032,317.971771,287.450867,309.837189,281.21225,320.298309,272.731232,330.495178,273.60141,340.218719,275.23764,339.721832,278.938965,329.574982,278.599976,319.628723,276.337311,1,0,?
550,'2019/06/10 17:34:39:810',17,267.126251,201.0009,266.684662,219.677795,267.639038,238.379364,269.205536,256.918976,272.492798,275.407196,278.751953,293.694275,288.33429,310.882477,301.576843,325.35791,319.516541,332.515869,338.341156,332.514069,355.039642,323.997375,368.949677,311.181183,379.671753,295.674774,387.12796,277.877594,393.529694,258.921295,399.996399,239.60907,405.224182,219.99437,286.828827,159.998627,296.060913,154.750427,306.625061,152.990936,317.290771,154.233017,327.023346,158.292862,358.495514,162.953766,370.293976,161.267822,382.141449,162.967346,392.835297,168.333054,400.680084,177.124176,339.361572,191.794006,338.115204,205.989197,336.87854,220.082474,335.654327,234.133224,321.841705,244.277771,327.336456,246.686951,333.262543,248.045975,339.503723,248.118118,345.549438,247.006592,295.37381,188.067383,302.810974,183.760101,311.400146,185.24472,317.219147,191.260544,309.683167,192.599609,301.925385,191.787766,360.824646,197.163635,368.202332,192.613617,376.904572,193.518982,383.24765,199.289719,375.922943,201.284592,368.071503,200.168808,304.527344,272.522552,312.932404,267.39563,322.282623,263.912659,331.887177,265.783569,341.451752,266.401672,349.553955,272.090759,356.423767,278.818085,348.587097,285.92041,338.831451,290.186005,328.189423,290.51532,318.101593,287.507172,310.022614,281.123474,320.255554,272.738068,330.665344,273.737823,340.596283,275.274933,340.125427,278.953491,329.703003,278.688477,319.494415,276.300323,1,0,?
551,'2019/06/10 17:34:39:845',17,267.260742,200.898499,266.843597,219.601898,267.806671,238.327011,269.293182,256.867493,272.428955,275.332153,278.59729,293.560089,288.173096,310.623474,301.380554,324.989166,319.26001,332.074829,338.111755,332.154053,354.86554,323.726257,368.861664,311.015961,379.641174,295.559265,387.110962,277.811737,393.503113,258.920746,399.986603,239.671753,405.236389,220.117126,286.494873,159.721771,295.926147,154.564865,306.63858,152.963013,317.40448,154.360718,327.215759,158.561401,357.858307,163.178986,369.721649,161.404617,381.666107,162.988846,392.526001,168.192902,400.619232,176.87648,339.226898,191.906189,337.944,206.030411,336.670135,220.047379,335.409882,234.021255,321.611877,244.22963,327.124908,246.658447,333.075409,248.02562,339.3302,248.112396,345.391266,247.001984,295.148743,187.828186,302.608032,183.547699,311.190247,185.084045,316.963257,191.182205,309.419067,192.426498,301.671143,191.582458,360.739075,197.17543,368.083008,192.558807,376.792084,193.4133,383.150696,199.179947,375.844055,201.207275,368.000824,200.10556,303.895966,272.758026,312.352539,267.419769,321.841339,263.759216,331.643097,265.593506,341.411194,266.332428,349.603943,272.255524,356.469116,279.239594,348.497955,286.236786,338.635406,290.399933,327.891754,290.662567,317.716583,287.655121,309.534424,281.310272,319.726166,272.615417,330.427277,273.549744,340.657562,275.271667,340.106171,279.27829,329.423401,278.933533,318.970551,276.519806,1,0,?
552,'2019/06/10 17:34:39:865',17,267.143097,200.696503,266.681549,219.602798,267.581421,238.540695,269.043152,257.227295,272.202698,275.677612,278.391968,293.818329,287.952759,310.845825,301.146271,325.209778,319.088287,332.286224,337.993042,332.383514,354.751007,323.897644,368.69458,311.138031,379.456635,295.740143,387.018616,278.167816,393.496429,259.407745,399.980103,240.234116,405.184387,220.737808,286.466217,160.241623,296.054871,154.759354,307.049072,153.072083,318.072693,154.601318,328.100739,159.003845,358.589294,163.704437,370.297791,161.920273,382.109467,163.47583,392.868439,168.597305,400.851196,177.254547,340.013092,192.261185,338.710327,206.254898,337.411224,220.141357,336.105133,233.987534,322.20224,244.314697,327.676422,246.726379,333.590088,248.097275,339.681274,248.25563,345.587799,247.235336,295.267578,187.793365,302.954895,183.35762,311.800049,184.963943,317.631653,191.429413,309.87085,192.750244,301.901184,191.818634,360.815155,197.598389,368.322296,192.734451,377.279297,193.609772,383.69986,199.686554,376.227264,201.903015,368.195435,200.743729,304.181152,272.607452,312.649261,267.464355,322.039764,263.914917,331.672028,265.792694,341.171295,266.584503,349.078369,272.498627,355.674438,279.45639,347.971222,286.568634,338.285004,290.813568,327.651642,291.032501,317.547729,287.884491,309.577759,281.315887,319.795441,272.636688,330.399902,273.623383,340.384186,275.449402,339.832764,279.620636,329.316711,279.260712,318.955475,276.706543,1,0,?
553,'2019/06/10 17:34:39:894',17,267.551361,200.392471,267.077423,219.237961,267.970917,238.102936,269.343475,256.759613,272.346283,275.301025,278.453217,293.609283,288.024384,310.758087,301.282593,325.164063,319.245575,332.254639,338.200623,332.323059,355.025085,323.777039,369.05368,310.919739,379.847504,295.35202,387.310516,277.539001,393.712463,258.580414,400.216095,239.249603,405.463196,219.603134,286.802399,159.889694,296.335205,154.784546,307.111572,153.277557,317.905853,154.765213,327.731476,159.04718,358.469391,163.638412,370.248779,161.842773,382.121429,163.378235,392.944611,168.486771,401.042908,177.088318,339.677765,192.323853,338.371552,206.431564,337.07428,220.429291,335.783142,234.382614,321.961365,244.804092,327.449188,247.209412,333.368896,248.566422,339.536804,248.686157,345.522705,247.627335,295.39975,187.92337,302.933899,183.677887,311.562042,185.25705,317.339691,191.448471,309.740997,192.655045,301.943481,191.755157,361.061218,197.487747,368.432098,192.817047,377.184814,193.640594,383.580597,199.423004,376.246124,201.510193,368.361115,200.416595,303.986023,272.851288,312.574402,267.701019,322.080444,264.172607,331.825745,266.059784,341.50708,266.765839,349.670715,272.589722,356.583099,279.462402,348.645721,286.656006,338.750153,290.917114,327.97052,291.165253,317.747192,288.105103,309.551331,281.614594,319.810638,273.078735,330.569702,274.131805,340.811218,275.808716,340.311523,279.5513,329.593811,279.130585,319.045776,276.723328,1,0,?
554,'2019/06/10 17:34:39:927',17,267.249817,200.981873,266.78241,219.801407,267.694641,238.64296,269.144745,257.291534,272.290344,275.813629,278.555115,294.033356,288.231537,311.065002,301.52121,325.393494,319.459198,332.449646,338.352478,332.501251,355.125763,324.01947,369.13504,311.274994,379.940643,295.820374,387.449127,278.104767,393.8508,259.247803,400.304291,240.022293,405.509369,220.492126,286.576141,159.683243,295.968842,154.612961,306.604187,153.065201,317.281769,154.476883,327.012817,158.663879,358.189331,163.592514,369.94809,161.815887,381.797729,163.359161,392.602203,168.447769,400.70871,176.989868,339.422791,192.210327,338.092804,206.392059,336.770111,220.466888,335.466553,234.499512,321.718353,244.678986,327.24353,247.095291,333.19928,248.46167,339.461578,248.564621,345.531311,247.480148,295.371399,188.013443,302.870972,183.69783,311.495087,185.286957,317.237457,191.528687,309.653534,192.795944,301.875977,191.904831,360.904907,197.593063,368.248108,192.893051,376.983459,193.742966,383.325653,199.576447,376.008057,201.696411,368.149872,200.598145,303.921112,272.955841,312.463501,267.746277,321.98407,264.184174,331.773773,266.055939,341.547516,266.77829,349.791687,272.629578,356.763702,279.538513,348.786469,286.633301,338.869171,290.850128,328.066803,291.110657,317.813782,288.075562,309.571106,281.639893,319.892639,273.059967,330.567108,274.047699,340.807953,275.730194,340.31015,279.645996,329.610352,279.28009,319.141937,276.865662,1,0,?
