@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute raw-1 numeric
@attribute raw-2 numeric
@attribute raw-3 numeric
@attribute raw-4 numeric
@attribute raw-5 numeric
@attribute raw-6 numeric
@attribute raw-7 numeric
@attribute raw-8 numeric
@attribute raw-9 numeric
@attribute raw-10 numeric
@attribute raw-11 numeric
@attribute raw-12 numeric
@attribute raw-13 numeric
@attribute raw-14 numeric
@attribute raw-15 numeric
@attribute raw-16 numeric
@attribute raw-17 numeric
@attribute raw-18 numeric
@attribute raw-19 numeric
@attribute raw-20 numeric
@attribute raw-21 numeric
@attribute raw-22 numeric
@attribute raw-23 numeric
@attribute raw-24 numeric
@attribute raw-25 numeric
@attribute raw-26 numeric
@attribute raw-27 numeric
@attribute raw-28 numeric
@attribute raw-29 numeric
@attribute raw-30 numeric
@attribute raw-31 numeric
@attribute raw-32 numeric
@attribute raw-33 numeric
@attribute raw-34 numeric
@attribute raw-35 numeric
@attribute raw-36 numeric
@attribute raw-37 numeric
@attribute raw-38 numeric
@attribute raw-39 numeric
@attribute raw-40 numeric
@attribute raw-41 numeric
@attribute raw-42 numeric
@attribute raw-43 numeric
@attribute raw-44 numeric
@attribute raw-45 numeric
@attribute raw-46 numeric
@attribute raw-47 numeric
@attribute raw-48 numeric
@attribute raw-49 numeric
@attribute raw-50 numeric
@attribute raw-51 numeric
@attribute raw-52 numeric
@attribute raw-53 numeric
@attribute raw-54 numeric
@attribute raw-55 numeric
@attribute raw-56 numeric
@attribute raw-57 numeric
@attribute raw-58 numeric
@attribute raw-59 numeric
@attribute raw-60 numeric
@attribute raw-61 numeric
@attribute raw-62 numeric
@attribute raw-63 numeric
@attribute raw-64 numeric
@attribute raw-65 numeric
@attribute raw-66 numeric
@attribute raw-67 numeric
@attribute raw-68 numeric
@attribute raw-69 numeric
@attribute raw-70 numeric
@attribute raw-71 numeric
@attribute raw-72 numeric
@attribute raw-73 numeric
@attribute raw-74 numeric
@attribute raw-75 numeric
@attribute raw-76 numeric
@attribute raw-77 numeric
@attribute raw-78 numeric
@attribute raw-79 numeric
@attribute raw-80 numeric
@attribute raw-81 numeric
@attribute raw-82 numeric
@attribute raw-83 numeric
@attribute raw-84 numeric
@attribute raw-85 numeric
@attribute raw-86 numeric
@attribute raw-87 numeric
@attribute raw-88 numeric
@attribute raw-89 numeric
@attribute raw-90 numeric
@attribute raw-91 numeric
@attribute raw-92 numeric
@attribute raw-93 numeric
@attribute raw-94 numeric
@attribute raw-95 numeric
@attribute raw-96 numeric
@attribute raw-97 numeric
@attribute raw-98 numeric
@attribute raw-99 numeric
@attribute raw-100 numeric
@attribute raw-101 numeric
@attribute raw-102 numeric
@attribute raw-103 numeric
@attribute raw-104 numeric
@attribute raw-105 numeric
@attribute raw-106 numeric
@attribute raw-107 numeric
@attribute raw-108 numeric
@attribute raw-109 numeric
@attribute raw-110 numeric
@attribute raw-111 numeric
@attribute raw-112 numeric
@attribute raw-113 numeric
@attribute raw-114 numeric
@attribute raw-115 numeric
@attribute raw-116 numeric
@attribute raw-117 numeric
@attribute raw-118 numeric
@attribute raw-119 numeric
@attribute raw-120 numeric
@attribute raw-121 numeric
@attribute raw-122 numeric
@attribute raw-123 numeric
@attribute raw-124 numeric
@attribute raw-125 numeric
@attribute raw-126 numeric
@attribute raw-127 numeric
@attribute raw-128 numeric
@attribute raw-129 numeric
@attribute raw-130 numeric
@attribute raw-131 numeric
@attribute raw-132 numeric
@attribute outputs-1 numeric

@data
308,'2019/05/23 19:17:17:812',7,295.622467,202.861664,297.678375,225.494049,300.871857,248.032501,304.523346,270.276123,310.371216,291.668823,320.458221,311.25235,334.495605,328.276794,352.039764,341.303864,373.237091,346.281067,394.172577,342.538635,411.099823,328.991913,424.086945,311.177399,433.587372,291.492615,440.38562,271.209717,445.75119,250.710907,450.348083,229.982834,452.945709,208.964462,316.747833,160.604431,327.923096,152.818314,341.317993,149.3806,355.169342,150.243881,368.300507,154.71344,399.868988,157.115631,411.0737,153.87236,422.886566,153.926865,434.162262,157.141296,443.36795,164.070343,384.587067,187.923798,384.615021,204.489761,384.583557,220.949951,384.414429,237.330765,368.022308,248.386948,375.194916,251.285416,382.970978,252.664658,389.747162,252.058868,396.005585,249.842514,332.381927,187.38736,340.668091,182.656601,350.450073,183.137711,357.88858,189.008987,349.291992,190.678482,340.384399,190.397537,404.498779,191.540009,412.081177,186.666962,421.473877,186.58876,428.831207,192.055405,421.070892,194.540039,412.569977,193.890472,352.246399,281.516327,360.991089,275.615967,370.614532,270.95575,380.993286,272.452972,390.110962,271.98465,397.766785,277.467133,403.438263,284.461548,397.135986,291.350189,388.646545,295.717255,378.917328,296.755219,368.467804,294.430634,359.521423,289.098602,370.086151,280.382019,380.380981,280.741699,388.795502,281.591766,388.546783,283.651306,379.897858,284.148987,370.051025,282.590607,0
309,'2019/05/23 19:17:17:862',7,295.790009,203.268082,298.006836,225.806213,301.349243,248.239868,305.144592,270.383545,311.194733,291.631622,321.5047,310.989044,335.675232,327.775482,353.240875,340.624359,374.379242,345.414948,395.108673,341.563507,411.812164,327.999451,424.605743,310.266296,433.940002,290.703705,440.607849,270.564941,445.855408,250.232986,450.386444,229.695129,452.945404,208.878189,316.715515,160.585831,327.867493,152.73851,341.262421,149.216827,355.138092,150.003738,368.310883,154.410324,399.910919,156.814545,411.152679,153.6073,422.994537,153.698502,434.272278,156.983887,443.443817,163.974213,384.692444,187.704941,384.76712,204.290771,384.783417,220.770966,384.667908,237.174225,368.257111,248.256577,375.464722,251.201645,383.285675,252.585175,390.120789,251.927063,396.413055,249.619431,332.845734,187.302078,340.984589,182.570938,350.626648,183.046509,357.942139,188.900604,349.481873,190.57814,340.722198,190.306427,404.80658,191.341309,412.238403,186.47229,421.465881,186.368271,428.670105,191.803345,421.05661,194.290314,412.716064,193.675156,352.006378,280.797028,361.087067,275.213806,370.909882,270.798462,381.412231,272.29541,390.659882,271.767029,398.591705,276.958466,404.704376,283.617035,398.221649,290.690002,389.485107,295.168427,379.519226,296.257446,368.783997,293.956421,359.537872,288.546936,370.415497,280.049988,380.863739,280.478638,389.467651,281.19635,389.30423,283.263336,380.423767,283.794373,370.340027,282.252808,0
310,'2019/05/23 19:17:17:895',7,295.933197,202.910065,298.029724,225.590866,301.264893,248.179535,304.914337,270.433502,310.727448,291.743256,320.836853,311.166016,334.920685,328.002777,352.483398,340.851013,373.662811,345.679352,394.587524,342.001068,411.489349,328.516754,424.436462,310.782471,433.899139,291.21875,440.671448,271.087219,446.002533,250.714172,450.565552,230.084946,453.101196,209.168259,316.88031,160.637772,328.0383,152.860306,341.388306,149.392365,355.196289,150.21228,368.304932,154.607574,400.196259,157.102463,411.277008,153.953934,422.961853,154.04216,434.127411,157.210571,443.298737,164.028381,384.904358,187.797119,384.941833,204.23642,384.915985,220.568741,384.751801,236.827179,368.342712,248.449402,375.549042,251.330154,383.355469,252.691803,390.131256,252.102097,396.38739,249.899704,332.693481,187.370392,340.935791,182.735168,350.630951,183.209045,358.029755,189.009705,349.484467,190.642441,340.639771,190.354385,404.726318,191.582245,412.22995,186.801804,421.514832,186.700424,428.814606,192.070938,421.136353,194.53775,412.718933,193.892532,352.413239,281.373444,361.239655,275.454712,370.917847,270.759125,381.34668,272.219177,390.500458,271.789703,398.197296,277.30304,403.919128,284.343964,397.595795,291.218933,389.06665,295.557343,379.307465,296.545776,368.804749,294.260925,359.783813,288.944794,370.38324,280.266693,380.751373,280.596375,389.235107,281.488434,389.007568,283.473633,380.298096,283.895538,370.371765,282.402405,0
311,'2019/05/23 19:17:17:945',7,296.347595,203.448242,298.420349,226.056122,301.577087,248.577499,305.107239,270.768372,310.811981,292.017181,320.835266,311.406738,334.846252,328.237885,352.355072,341.09552,373.479614,345.978088,394.443817,342.411987,411.406189,328.981232,424.414215,311.279419,433.921875,291.73642,440.693695,271.577118,446.019928,251.12883,450.609467,230.411087,453.205994,209.411453,317.134216,160.634811,328.208771,152.774048,341.509155,149.255371,355.27832,150.040283,368.339447,154.424377,400.371002,157.037598,411.556763,153.845322,423.353394,153.960327,434.606049,157.250488,443.773346,164.268372,385.06073,188.156876,385.091248,204.661865,385.054321,221.05957,384.876862,237.38623,368.497131,248.520065,375.703369,251.445923,383.52002,252.832245,390.327515,252.225113,396.610962,249.979065,332.963654,187.386337,341.177521,182.611145,350.899139,183.121277,358.24118,189.103378,349.716797,190.78743,340.882935,190.465942,405.105408,191.701401,412.584564,186.743896,421.889008,186.645859,429.149933,192.143692,421.490295,194.690399,413.076721,194.066498,352.448303,281.005859,361.470093,275.339417,371.218353,270.909912,381.600159,272.408875,390.720184,271.953949,398.514374,277.21521,404.465576,283.991455,398.065063,291.024323,389.405792,295.461273,379.528748,296.457489,368.931671,294.151794,359.818146,288.748291,370.635895,280.275055,380.990997,280.69458,389.47818,281.506287,389.293518,283.444366,380.514587,283.859436,370.539185,282.364227,0
312,'2019/05/23 19:17:18:011',7,296.287659,202.703369,298.382355,225.381378,301.585754,247.959717,305.169067,270.267517,310.880585,291.743347,320.881958,311.338593,334.856262,328.317474,352.307281,341.299286,373.36673,346.301758,394.372894,342.489258,411.380554,328.825806,424.425171,310.858551,433.994476,291.035706,440.882843,270.70993,446.286896,250.283768,450.888062,229.674713,453.457764,208.766449,316.935913,160.694077,328.006317,152.799484,341.368805,149.270294,355.218384,150.125305,368.365295,154.597504,400.498535,157.235016,411.638092,154.061142,423.374725,154.163589,434.549622,157.419586,443.623352,164.356186,385.096283,188.523926,385.073547,204.904831,384.978027,221.182907,384.738403,237.378433,368.400238,248.483658,375.60675,251.420273,383.418457,252.843262,390.185883,252.227325,396.436768,250.005096,332.725616,187.350922,340.92926,182.650772,350.624207,183.129471,357.974548,189.009918,349.458893,190.722763,340.6297,190.404831,405.189575,191.717636,412.659454,186.908127,421.934418,186.841751,429.151459,192.31575,421.500641,194.808609,413.112305,194.14537,352.5448,281.430389,361.282501,275.53653,370.906128,270.875519,381.278137,272.424774,390.421112,271.959686,398.056396,277.490021,403.66391,284.55249,397.373901,291.446198,388.888367,295.786926,379.181091,296.811951,368.757874,294.432159,359.817841,289.06134,370.474213,280.341461,380.665558,280.781982,389.02356,281.616241,388.77887,283.690826,380.206787,284.184296,370.458374,282.573486,0
313,'2019/05/23 19:17:18:046',7,296.195526,202.417542,298.132751,224.993546,301.184509,247.474884,304.76297,269.710571,310.646484,291.15918,320.812744,310.771698,334.871429,327.82666,352.356659,340.960632,373.485504,346.109772,394.309509,342.383606,411.189423,328.848755,424.218536,311.109497,433.83905,291.498779,440.768372,271.257385,446.221924,250.845001,450.848419,230.243607,453.472839,209.343063,317.67511,160.963913,328.645386,153.072479,341.904388,149.479156,355.671814,150.262375,368.740906,154.659729,401.020142,157.392258,412.178955,154.230957,423.912842,154.385376,435.047791,157.734024,444.033325,164.742096,385.452423,188.777405,385.456146,205.229797,385.394775,221.5811,385.191864,237.847626,368.801239,248.686905,375.94751,251.590958,383.691437,252.999939,390.437988,252.403625,396.684418,250.216614,333.972717,187.609619,342.036194,182.942612,351.57666,183.452515,358.771942,189.296616,350.412964,191.016174,341.742401,190.681854,405.351685,192.005386,412.736023,187.208939,421.875702,187.158218,428.967102,192.582199,421.421997,195.090668,413.158234,194.451172,352.627625,281.240814,361.56781,275.612274,371.286438,271.147491,381.695129,272.758514,390.825165,272.243256,398.520172,277.59491,404.300507,284.376587,397.974152,291.494232,389.372009,296.004456,379.525238,297.078125,368.937622,294.644196,359.897339,289.103699,370.815521,280.548584,381.042847,281.053162,389.36499,281.806519,389.150543,283.905457,380.545868,284.447266,370.723206,282.79007,0
314,'2019/05/23 19:17:18:095',7,296.237762,203.204224,298.243683,225.827286,301.362152,248.368317,304.898132,270.578094,310.62439,291.856262,320.637817,311.296692,334.630157,328.189911,352.129303,341.123352,373.282013,346.094025,394.222992,342.608826,411.227631,329.307892,424.300507,311.713867,433.865814,292.228577,440.719727,272.107117,446.155518,251.697372,450.851898,231.016678,453.540466,210.040054,317.476868,160.632614,328.642303,152.77005,342.038025,149.279434,355.889618,150.131226,369.016815,154.588333,401.03241,157.224152,412.191406,154.085693,423.945099,154.238419,435.151398,157.52861,444.29303,164.513596,385.530151,188.105606,385.518707,204.588608,385.443359,220.964569,385.223297,237.268387,368.777283,248.488022,375.929626,251.396393,383.687469,252.799652,390.420746,252.243103,396.648438,250.079285,333.10202,187.424332,341.388153,182.726791,351.147797,183.236084,358.546112,189.137527,349.965637,190.788376,341.075592,190.467651,405.49884,191.921722,413.072845,187.091919,422.431274,187.059952,429.733673,192.560257,421.996521,195.01709,413.525879,194.327148,352.599792,281.357361,361.505249,275.57489,371.194611,271.016815,381.561584,272.539093,390.635437,272.160461,398.269379,277.643677,403.977203,284.619019,397.596771,291.384613,389.053833,295.623657,379.332397,296.542145,368.886536,294.205383,359.919006,288.896088,370.591858,280.394806,380.895813,280.798035,389.269867,281.726471,389.024872,283.67569,380.387177,284.0401,370.526367,282.496613,0
315,'2019/05/23 19:17:18:145',7,296.34848,203.851608,298.375031,226.422318,301.506653,248.908707,305.084839,271.082703,310.910889,292.323242,321.034729,311.693359,335.072998,328.537201,352.56369,341.469635,373.690155,346.401978,394.576965,342.875092,411.502106,329.509064,424.532288,311.910339,434.099579,292.459167,440.938934,272.352081,446.340607,251.959641,450.988556,231.3125,453.646851,210.379379,317.448029,160.850616,328.541321,152.957886,341.884338,149.431091,355.699005,150.246582,368.803009,154.66246,401.028687,157.360397,412.265137,154.225494,424.085541,154.396133,435.329407,157.771973,444.431213,164.87439,385.47821,188.583282,385.48349,205.003693,385.423523,221.319214,385.222717,237.563248,368.741058,248.696198,375.947784,251.623459,383.764618,253.0242,390.582031,252.445221,396.883362,250.237411,333.739929,187.577667,341.851013,182.899597,351.428192,183.411209,358.669464,189.288498,350.261139,190.941986,341.553955,190.611328,405.518677,192.025131,412.935089,187.20784,422.108765,187.165588,429.246887,192.61264,421.664795,195.063583,413.370087,194.410522,352.511322,281.441956,361.532959,275.718567,371.314819,271.223785,381.76062,272.762451,390.949738,272.334778,398.741821,277.722748,404.647919,284.603577,398.195648,291.565674,389.506287,295.918793,379.633423,296.87326,369.027771,294.548889,359.900482,289.161804,370.819977,280.707367,381.123383,281.124725,389.552338,281.992126,389.337341,283.85968,380.649902,284.226166,370.751678,282.721924,0
316,'2019/05/23 19:17:18:195',7,296.680573,203.20192,298.753174,225.938934,301.950287,248.582993,305.545135,270.919708,311.29306,292.35437,321.343353,311.904816,335.367004,328.876068,352.886108,341.852783,374.051758,346.781342,394.999573,343.050903,411.948029,329.481995,424.941925,311.640686,434.465637,291.974182,441.30481,271.775818,446.710938,251.401367,451.355072,230.804382,453.989502,209.911957,317.389801,161.15892,328.552795,153.184586,342.008209,149.606247,355.949341,150.436798,369.176086,154.917542,401.198242,157.544449,412.420685,154.43663,424.226166,154.633331,435.442902,158.018646,444.514832,165.105881,385.68866,188.58548,385.645691,205.12442,385.534119,221.557632,385.280731,237.913361,369.045654,248.963745,376.171112,251.844482,383.893555,253.233551,390.585785,252.665009,396.770264,250.509186,333.426056,187.701447,341.671387,182.99736,351.395081,183.490311,358.763275,189.404007,350.212036,191.060318,341.361816,190.738495,405.606628,192.164185,413.126312,187.342575,422.435394,187.299683,429.679108,192.809708,421.983459,195.254837,413.568573,194.571472,352.9021,281.85553,361.723328,275.983246,371.389343,271.33725,381.780701,272.870453,390.932678,272.436859,398.606293,277.963501,404.296997,285.020599,397.980896,291.943665,389.45108,296.300385,379.698486,297.297302,369.20401,294.936005,360.211456,289.531158,370.951385,280.869415,381.167725,281.276581,389.540283,282.151245,389.316742,284.12616,380.71994,284.547455,370.934662,282.995087,0
317,'2019/05/23 19:17:18:260',7,296.864471,202.548889,298.853271,225.316849,301.961975,247.989639,305.499268,270.394775,311.233917,291.981659,321.336151,311.697723,335.456787,328.768127,353.066772,341.814301,374.306488,346.820526,395.231232,343.042175,412.177917,329.438904,425.190765,311.567017,434.704803,291.809784,441.510468,271.500153,446.865601,251.061813,451.454407,230.43483,454.041748,209.511795,317.790192,161.026367,328.900391,153.156158,342.281647,149.640488,356.139954,150.500977,369.286407,154.981461,401.471802,157.652924,412.625732,154.475754,424.37262,154.586151,435.552094,157.858063,444.616791,164.81929,385.932739,188.846909,385.913055,205.317886,385.829254,221.685211,385.60968,237.969589,369.168396,249.103882,376.377625,252.009445,384.184906,253.409225,390.970551,252.817184,397.249817,250.62616,333.894989,187.918198,342.079498,183.256577,351.731781,183.766129,359.046265,189.630188,350.561646,191.312012,341.771851,190.9841,405.862396,192.34462,413.331757,187.55127,422.570709,187.476807,429.76947,192.913727,422.132782,195.412506,413.770447,194.757553,353.030182,281.98996,361.965515,276.238251,371.704193,271.658905,382.158783,273.226044,391.345978,272.731018,399.080933,278.16925,404.881531,285.084351,398.513062,292.080841,389.90802,296.477386,380.085632,297.512939,369.505219,295.143738,360.417755,289.724213,371.177826,281.13559,381.545654,281.591766,390.03714,282.384766,389.830811,284.365631,381.093658,284.84079,371.144409,283.262115,0
